precos,Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Câmbio,Direção,Cor,Portas,Final de placa,Possui Kit GNV,Tipo de direção
55.900,"Carros, Vans E Utilitários",Volkswagen 1.6 Mi Total Flex 8v 4p,Volkswagen,Hatch,2012,142000,1.6,Flex,Manual,Eletro-hidráulica,Branco,4 Portas,8,Não,5
104.900,"Carros, Vans E Utilitários",Fiat Volcano 2.0 16v 4x4 Tb Diesel Aut.,Fiat,Pick-up,2018,96000,2.0 - 2.9,Diesel,Automático,Elétrica,Outra,4 Portas,,Não,Elétrica
455.000,"Carros, Vans E Utilitários",Bmw Cabriolet M Sport 2.0 Tb 258cv 2p,Bmw,Conversível,2022,13000,2.0 - 2.9,Gasolina,Automático,Eletro-hidráulica,Preto,2 Portas,2,Não,5
104.900,"Carros, Vans E Utilitários",Audi Sportback 1.4 Tfsi S-tronic,Audi,Hatch,2018,97000,1.4,Gasolina,Automático,Elétrica,Prata,4 Portas,,,
304.888,"Carros, Vans E Utilitários",Bmw A 2.0 Tb M Sport Activeflex 16v 4p,Bmw,Sedã,2024,6082,2.0 - 2.9,Flex,Automático,Elétrica,Preto,4 Portas,8,Não,Elétrica
35.000,"Carros, Vans E Utilitários",Ford 1.0 Se/se Plus Tivct Flex 5p,Ford,Hatch,2018,190000,1.0,Flex,,Elétrica,Branco,4 Portas,,Não,Elétrica
330.000,"Carros, Vans E Utilitários",Ram Laramie 6.7 Tdi Cd 4x4 Diesel,Ram,Pick-up,2020,140000,4.0 Ou Mais,Diesel,Automático,Elétrica,,4 Portas,,Não,Elétrica
35.900,"Carros, Vans E Utilitários",Renault Zen 1.0 Flex 12v 5p Mec.,Renault,Hatch,2019,133000,1.0,Flex,Manual,Elétrica,Prata,4 Portas,,Não,Elétrica
330.000,"Carros, Vans E Utilitários",Ram Laramie 6.7 Tdi Cd 4x4 Diesel,Ram,Pick-up,2020,140000,4.0 Ou Mais,Diesel,Automático,Elétrica,,4 Portas,,Não,Elétrica
35.900,"Carros, Vans E Utilitários",Renault Zen 1.0 Flex 12v 5p Mec.,Renault,Hatch,2019,133000,1.0,Flex,Manual,Elétrica,Prata,4 Portas,,Não,Elétrica
136.900,"Carros, Vans E Utilitários",Toyota Altis Prem. Hybrid 1.8 Flex Aut,Toyota,Sedã,2021,77000,1.8,Híbrido,Automático,Elétrica,,4 Portas,,Não,Elétrica
112.940,"Carros, Vans E Utilitários",Fiat Audace 1.0 200 T. Flex Aut,Fiat,Hatch,2023,18300,1.0,Flex,Automático,Elétrica,Branco,4 Portas,4,Não,Elétrica
40.000,"Carros, Vans E Utilitários",Honda Exl 1.8 Flexone 16v 5p Aut.,Honda,Suv,2016,250000,1.8,Flex,Automático,Elétrica,Prata,4 Portas,2,Não,Elétrica
59.900,"Carros, Vans E Utilitários",Fiat Attractive 1.4 Fire Flex 8v 5p,Fiat,Van/utilitário,2016,85000,1.4,Flex,Manual,Mecânica,Vermelho,4 Portas,4,Não,Mecânica
419.000,"Carros, Vans E Utilitários",Toyota Sw4 Srx Plat. 4x4 2.8 Tb Die. Aut.,Toyota,Suv,2025,0,2.0 - 2.9,Diesel,Automático,Hidráulica,Branco,4 Portas,,Não,Hidráulica
125.000,"Carros, Vans E Utilitários",Chevrolet Premier 1.2 Turbo 12v Flex Aut,Chevrolet,Suv,2024,63500,1.2,Flex,Automático,Elétrica,Cinza,4 Portas,0,Não,Elétrica
60.000,"Carros, Vans E Utilitários",Honda Sedan Lx 1.5 Flex 16v 4p Aut.,Honda,Sedã,2013,120000,,,Automático,Elétrica,Outra,4 Portas,,Não,Elétrica
34.500,"Carros, Vans E Utilitários",Nissan Sl 1.6 16v Flex Fuel 4p Mec.,Nissan,Sedã,2014,102000,1.6,Flex,,,,4 Portas,,Não,
94.900,"Carros, Vans E Utilitários",Chery T 1.5 16v Turbo Flex Aut.,Chery,Suv,2022,43000,1.5,Flex,Automático,Elétrica,Branco,4 Portas,4,Não,Elétrica
43.900,"Carros, Vans E Utilitários",Ford 1.0 Se/se Plus Tivct Flex 5p,Ford,Hatch,2020,145000,1.0,Flex,Manual,Elétrica,Branco,4 Portas,,Não,Elétrica
147.000,"Carros, Vans E Utilitários",Toyota Sw4 Srv D4-d 4x4 3.0 Tdi Dies. Aut,Toyota,Suv,2014,236000,3.0 - 3.9,Diesel,Automático,Hidráulica,Prata,4 Portas,9,Não,Hidráulica
95.000,"Carros, Vans E Utilitários",Renault Oroch Pro 1.6 Flex 16v Mec.,Renault,Pick-up,2024,58000,1.6,Flex,Manual,Eletro-hidráulica,Branco,4 Portas,1,Não,5
30.000,"Carros, Vans E Utilitários",Volkswagen Take 1.0 Total Flex 12v 5p,Volkswagen,Hatch,2016,216000,1.0,Flex,Manual,Mecânica,Branco,4 Portas,6,Não,Mecânica
137.900,"Carros, Vans E Utilitários",Gwm 03 Skin (elétrico),Gwm,Hatch,2024,5523,1.8,,Automático,Elétrica,Vermelho,4 Portas,,Não,Elétrica
120.000,"Carros, Vans E Utilitários",Chery Txs 1.6 Turbo Tgdi Aut,Chery,Suv,2021,68000,1.6,Gasolina,Automático,Elétrica,Prata,4 Portas,,Não,Elétrica
117.450,"Carros, Vans E Utilitários",Fiat Ranch 1.3 Flex 8v Cd Aut.,Fiat,Pick-up,2022,24377,1.3,Flex,,,Branco,4 Portas,,Não,
11.000,"Carros, Vans E Utilitários",Dodge Sedan Luxo,Dodge,Coupé,1978,1231,3.0 - 3.9,Gasolina,Manual,Mecânica,Branco,2 Portas,4,Não,Mecânica
372.000,"Carros, Vans E Utilitários",Toyota Sw4 Srx Plat. 4x4 2.8 Tb Die. Aut.,Toyota,Suv,2025,21500,2.0 - 2.9,Diesel,Automático,Hidráulica,Branco,4 Portas,,Não,Hidráulica
47.000,"Carros, Vans E Utilitários",Volkswagen 1.0 Mi Fun/ Highway/ Sport 16v 2/4p,Volkswagen,Hatch,2002,250000,1.0,álcool,Manual,Hidráulica,Azul,4 Portas,,Não,Hidráulica
52.900,"Carros, Vans E Utilitários",Hyundai Premium 1.6 Flex 16v Aut.,Hyundai,Hatch,2015,91000,1.6,Flex,Automático,Hidráulica,Cinza,4 Portas,7,Não,Hidráulica
35.000,"Carros, Vans E Utilitários",Nissan S 1.6 16v Flex Fuel 5p,Nissan,Hatch,2014,105000,1.6,Flex,Manual,Elétrica,Prata,4 Portas,2,Não,Elétrica
66.900,"Carros, Vans E Utilitários",Volkswagen Trendline 1.6 T.flex 8v,Volkswagen,Pick-up,2019,78185,1.6,Flex,Manual,Hidráulica,Branco,2 Portas,,Não,Hidráulica
69.900,"Carros, Vans E Utilitários",Chevrolet Hatch Ltz 1.0 12v Tb Flex Mec. 4p,Chevrolet,Hatch,2020,55200,1.0,Flex,Manual,Elétrica,Outra,4 Portas,4,Não,Elétrica
31.900,"Carros, Vans E Utilitários",Volkswagen Sedan 1.6 Mi Total Flex 8v 4p,Volkswagen,Sedã,2010,167000,1.6,,,Hidráulica,Prata,,,Não,Hidráulica
30.000,"Carros, Vans E Utilitários",Honda Sedan Lxs 1.8/1.8 Flex 16v Aut. 4p,Honda,Sedã,2008,200000,1.8,Flex,Automático,Hidráulica,Cinza,4 Portas,4,Não,Hidráulica
